theta0,beta0,theta1,beta1,theta2,beta2,theta3,beta3,swing_phase0,swing_phase1,swing_phase2,swing_phase3,foothold0_x,foothold0_y,foothold0_z,foothold1_x,foothold1_y,foothold1_z,foothold2_x,foothold2_y,foothold2_z,foothold3_x,foothold3_y,foothold3_z
0.692265,-0.219593,0.792067,0.445159,0.701561,0.192081,1.068724,0.753223,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.691749,-0.220951,0.791865,0.444885,0.701478,0.191753,1.068416,0.753013,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.691749,-0.220951,0.791865,0.444885,0.701478,0.191753,1.068416,0.753013,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.691220,-0.222341,0.791664,0.444612,0.701395,0.191424,1.068108,0.752802,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.691220,-0.222341,0.791664,0.444612,0.701395,0.191424,1.068108,0.752802,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.690679,-0.223764,0.791462,0.444338,0.701313,0.191096,1.067800,0.752592,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.690679,-0.223764,0.791462,0.444338,0.701313,0.191096,1.067800,0.752592,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.690126,-0.225218,0.791261,0.444065,0.701230,0.190767,1.067493,0.752381,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.690126,-0.225218,0.791261,0.444065,0.701230,0.190767,1.067493,0.752381,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.689560,-0.226704,0.791060,0.443791,0.701148,0.190439,1.067185,0.752170,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.689560,-0.226704,0.791060,0.443791,0.701148,0.190439,1.067185,0.752170,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.688983,-0.228222,0.790859,0.443517,0.701065,0.190111,1.066878,0.751959,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.688983,-0.228222,0.790859,0.443517,0.701065,0.190111,1.066878,0.751959,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.688394,-0.229771,0.790658,0.443243,0.700983,0.189782,1.066570,0.751748,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.688394,-0.229771,0.790658,0.443243,0.700983,0.189782,1.066570,0.751748,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.687793,-0.231352,0.790458,0.442969,0.700900,0.189454,1.066263,0.751537,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.687793,-0.231352,0.790458,0.442969,0.700900,0.189454,1.066263,0.751537,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.687180,-0.232963,0.790257,0.442695,0.700818,0.189125,1.065956,0.751326,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.687180,-0.232963,0.790257,0.442695,0.700818,0.189125,1.065956,0.751326,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.686555,-0.234605,0.790056,0.442421,0.700736,0.188796,1.065649,0.751115,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.686555,-0.234605,0.790056,0.442421,0.700736,0.188796,1.065649,0.751115,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.685919,-0.236278,0.789856,0.442147,0.700654,0.188468,1.065342,0.750904,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.685919,-0.236278,0.789856,0.442147,0.700654,0.188468,1.065342,0.750904,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.685271,-0.237981,0.789656,0.441873,0.700572,0.188139,1.065035,0.750693,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.685271,-0.237981,0.789656,0.441873,0.700572,0.188139,1.065035,0.750693,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.684612,-0.239715,0.789455,0.441599,0.700490,0.187811,1.064729,0.750481,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.684612,-0.239715,0.789455,0.441599,0.700490,0.187811,1.064729,0.750481,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.683941,-0.241478,0.789255,0.441324,0.700408,0.187482,1.064422,0.750270,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.683941,-0.241478,0.789255,0.441324,0.700408,0.187482,1.064422,0.750270,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.683259,-0.243271,0.789055,0.441050,0.700326,0.187153,1.064116,0.750058,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.683259,-0.243271,0.789055,0.441050,0.700326,0.187153,1.064116,0.750058,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.682566,-0.245093,0.788855,0.440776,0.700244,0.186825,1.063810,0.749847,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.682566,-0.245093,0.788855,0.440776,0.700244,0.186825,1.063810,0.749847,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.681861,-0.246945,0.788656,0.440501,0.700162,0.186496,1.063503,0.749635,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.681861,-0.246945,0.788656,0.440501,0.700162,0.186496,1.063503,0.749635,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.681146,-0.248826,0.788456,0.440226,0.700081,0.186167,1.063197,0.749423,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.681146,-0.248826,0.788456,0.440226,0.700081,0.186167,1.063197,0.749423,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.680419,-0.250737,0.788256,0.439952,0.699999,0.185838,1.062892,0.749211,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.680419,-0.250737,0.788256,0.439952,0.699999,0.185838,1.062892,0.749211,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.679682,-0.252675,0.788057,0.439677,0.699918,0.185509,1.062586,0.748999,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
