i,theta (deg),beta (deg),height (mm)
459,34.9361,30.854,0.129699
460,34.9086,30.8181,0.129699
461,34.8812,30.7821,0.129699
462,34.8539,30.7461,0.129699
463,34.8265,30.7101,0.129699
464,34.7991,30.6741,0.129699
465,34.7718,30.638,0.129699
466,34.7445,30.6019,0.129699
467,34.7172,30.5658,0.129699
468,34.69,30.5297,0.129699
469,34.6627,30.4936,0.129699
470,34.6355,30.4574,0.129699
471,34.6083,30.4212,0.129699
472,34.5811,30.385,0.129699
473,34.554,30.3487,0.129699
474,34.5268,30.3125,0.129699
475,34.4997,30.2762,0.129699
476,34.4726,30.2399,0.129699
477,34.4455,30.2036,0.129699
478,34.4185,30.1672,0.129699
479,34.3914,30.1309,0.129699
480,34.3644,30.0945,0.129699
481,34.3374,30.058,0.129699
482,34.3104,30.0216,0.129699
483,34.2835,29.9851,0.129699
484,34.2565,29.9487,0.129699
485,34.2296,29.9121,0.129699
486,34.2027,29.8756,0.129699
487,34.1758,29.8391,0.129699
488,34.149,29.8025,0.129699
489,34.1221,29.7659,0.129699
490,34.0953,29.7293,0.129699
491,34.0685,29.6926,0.129699
492,34.0417,29.656,0.129699
493,34.015,29.6193,0.129699
494,33.9882,29.5826,0.129699
495,33.9615,29.5458,0.129699
496,33.9348,29.5091,0.129699
497,33.9081,29.4723,0.129699
498,33.8815,29.4355,0.129699
499,33.8548,29.3987,0.129699
500,33.8282,29.3618,0.129699
501,33.8016,29.3249,0.129699
502,33.775,29.2881,0.129699
503,33.7484,29.2511,0.129699
504,33.7219,29.2142,0.129699
505,33.6954,29.1772,0.129699
506,33.6689,29.1403,0.129699
507,33.6424,29.1033,0.129699
508,33.6159,29.0662,0.129699
509,33.5895,29.0292,0.129699
510,33.563,28.9921,0.129699
511,33.5366,28.955,0.129699
512,33.5102,28.9179,0.129699
513,33.4839,28.8808,0.129699
514,33.4575,28.8436,0.129699
515,33.4312,28.8064,0.129699
516,33.4049,28.7692,0.129699
517,33.3786,28.732,0.129699
518,33.3523,28.6947,0.129699
519,33.326,28.6574,0.129699
520,33.2998,28.6201,0.129699
521,33.2736,28.5828,0.129699
522,33.2474,28.5455,0.129699
523,33.2212,28.5081,0.129699
524,33.195,28.4707,0.129699
525,33.1689,28.4333,0.129699
526,33.1428,28.3959,0.129699
527,33.1167,28.3584,0.129699
528,33.0906,28.3209,0.129699
529,33.0645,28.2834,0.129699
530,33.0385,28.2459,0.129699
531,33.0125,28.2084,0.129699
532,32.9865,28.1708,0.129699
533,32.9605,28.1332,0.129699
534,32.9345,28.0956,0.129699
535,32.9085,28.0579,0.129699
536,32.8826,28.0203,0.129699
537,32.8567,27.9826,0.129699
538,32.8308,27.9449,0.129699
539,32.8049,27.9072,0.129699
540,32.7791,27.8694,0.129699
541,32.7532,27.8316,0.129699
542,32.7274,27.7938,0.129699
543,32.7016,27.756,0.129699
544,32.6758,27.7182,0.129699
545,32.65,27.6803,0.129699
546,32.6243,27.6424,0.129699
547,32.5986,27.6045,0.129699
548,32.5729,27.5666,0.129699
549,32.5472,27.5286,0.129699
550,32.5215,27.4907,0.129699
551,32.4958,27.4527,0.129699
552,32.4702,27.4146,0.129699
553,32.4446,27.3766,0.129699
554,32.419,27.3385,0.129699
555,32.3934,27.3004,0.129699
556,32.3678,27.2623,0.129699
