t,theta,beta,gamma,in_stance
0.424910,1.745329,-0.000000,0.000000,0
0.425909,1.745329,-0.000000,0.000000,0
0.426909,1.745329,-0.000000,0.000000,0
0.427909,1.745329,-0.000000,0.000000,0
0.428909,1.745329,-0.000000,0.000000,0
0.429909,1.745329,-0.000000,0.000000,0
0.430908,1.745329,-0.000000,0.000000,0
0.431908,1.745329,-0.000000,0.000000,0
0.432908,1.745329,-0.000000,0.000000,0
0.433908,1.745329,-0.000000,0.000000,0
0.434907,1.745329,-0.000000,0.000000,0
0.435907,1.745329,-0.000000,0.000000,0
0.436907,1.745329,-0.000000,0.000000,0
0.437907,1.745329,-0.000000,0.000000,0
0.438907,1.745329,-0.000000,0.000000,0
0.439906,1.745329,-0.000000,0.000000,0
0.440906,1.745329,-0.000000,0.000000,0
0.441906,1.745329,-0.000000,0.000000,0
0.442906,1.745329,-0.000000,0.000000,0
0.443906,1.745329,-0.000000,0.000000,0
0.444905,1.745329,-0.000000,0.000000,0
0.445905,1.745329,-0.000000,0.000000,0
0.446905,1.745329,-0.000000,0.000000,0
0.447905,1.745329,-0.000000,0.000000,0
0.448904,1.745329,-0.000000,0.000000,0
0.449904,1.745329,-0.000000,0.000000,0
0.450904,1.745329,-0.000000,0.000000,0
0.451904,1.745329,-0.000000,0.000000,0
0.452904,1.745329,-0.000000,0.000000,0
0.453903,1.745329,-0.000000,0.000000,0
0.454903,1.745329,-0.000000,0.000000,0
0.455903,1.745329,-0.000000,0.000000,0
0.456903,1.745329,-0.000000,0.000000,0
0.457903,1.745329,-0.000000,0.000000,0
0.458902,1.745329,-0.000000,0.000000,0
0.459902,1.745329,-0.000000,0.000000,0
0.460902,1.745329,-0.000000,0.000000,0
0.461902,1.745329,-0.000000,0.000000,0
0.462901,1.745329,-0.000000,0.000000,0
0.463901,1.745329,-0.000000,0.000000,0
0.464901,1.745329,-0.000000,0.000000,0
0.465901,1.745329,-0.000000,0.000000,0
0.466901,1.745329,-0.000000,0.000000,0
0.467900,1.745329,-0.000000,0.000000,0
0.468900,1.745329,-0.000000,0.000000,0
