C.x,C.y,C.z,v.x,v.y,v.z,imu_lin_acc_x,imu_lin_acc_y,imu_lin_acc_z,imu_ang_vel_x,imu_ang_vel_y,imu_ang_vel_z,imu_orien_w,imu_orien_x,imu_orien_y,imu_orien_z,state_theta_a,state_beta_a,state_theta_b,state_beta_b_original_define,state_beta_b,state_theta_c,state_beta_c_original_define,state_beta_c,state_theta_d,state_beta_d
-1.03765,2.00646,0.119034,-0.029367625,-0.001043214,0.001545284,-0.003080869,-0.004434693,-0.015569994,3.37E-07,5.16E-05,-9.45E-07,1,2.79E-07,1.82E-05,-1.49E-05,0.393730973,-0.38977,0.479143473,-0.6270175,0.6270175,0.479143473,0.6270175,-0.6270175,0.393730473,0.3897695
-1.0378,2.00646,0.119039,-0.029379122,-0.001066154,0.001467968,-0.002293012,-0.004589179,-0.015459993,3.37E-07,3.68E-05,-1.46E-06,1,2.80E-07,1.83E-05,-1.49E-05,0.394022473,-0.3909425,0.479691973,-0.628903,0.628903,0.479691973,0.628903,-0.628903,0.394022973,0.390942
-1.03794,2.00645,0.119045,-0.029388319,-0.001090075,0.001391624,-0.001845527,-0.004782796,-0.015269993,3.37E-07,2.56E-05,-1.80E-06,1,2.80E-07,1.83E-05,-1.49E-05,0.394314473,-0.3921145,0.480240473,-0.6307885,0.6307885,0.480240973,0.630789,-0.630789,0.394314473,0.3921145
-1.03809,2.00644,0.11905,-0.029396415,-0.001114806,0.001316121,-0.001627553,-0.004945712,-0.015099993,3.37E-07,1.72E-05,-2.02E-06,1,2.81E-07,1.84E-05,-1.49E-05,0.394606473,-0.3932865,0.480789473,-0.6326745,0.6326745,0.480789473,0.6326745,-0.6326745,0.394606473,0.3932865
-1.03824,2.00644,0.119054,-0.029404112,-0.001140176,0.001241279,-0.001537947,-0.005074309,-0.014969993,3.37E-07,1.09E-05,-2.17E-06,1,2.82E-07,1.84E-05,-1.49E-05,0.394897973,-0.394459,0.481337973,-0.63456,0.63456,0.481338473,0.6345605,-0.6345605,0.394897973,0.394459
-1.03838,2.00643,0.119058,-0.029411708,-0.001166047,0.001166938,-0.001513251,-0.005174805,-0.014869993,3.37E-07,6.05E-06,-2.28E-06,1,2.83E-07,1.84E-05,-1.49E-05,0.395189973,-0.395631,0.481886973,-0.636446,0.636446,0.481886973,0.636446,-0.636446,0.395189973,0.395631
-1.03853,2.00643,0.119063,-0.029617011,-0.001042127,0.001313722,-0.041059868,0.024785538,0.029330005,3.37E-07,-0.000889832,-2.80E-05,1,2.84E-07,1.62E-05,-1.50E-05,0.395481473,-0.3968035,0.482435473,-0.6383315,0.6383315,0.482435973,0.638332,-0.638332,0.395481473,0.3968035
-1.03868,2.00642,0.119069,-0.029505819,-0.000907946,0.001467706,0.022246108,0.026835822,0.030790005,3.37E-07,-0.000141154,-2.81E-06,1,2.85E-07,1.58E-05,-1.50E-05,0.395773473,-0.3979755,0.482984473,-0.6402175,0.6402175,0.482984473,0.6402175,-0.6402175,0.395773473,0.3979755
-1.03883,2.00642,0.119075,-0.029489418,-0.000910561,0.001424379,0.003282531,-0.000522846,-0.008669995,3.37E-07,-1.55E-05,-1.70E-06,1,2.85E-07,1.58E-05,-1.50E-05,0.396064973,-0.399148,0.483532973,-0.642103,0.642103,0.483533473,0.6421035,-0.6421035,0.396065473,0.3991475
-1.03897,2.00641,0.11908,-0.029489915,-0.000937417,0.001350289,-0.000110373,-0.005371171,-0.014819995,3.37E-07,3.10E-06,-1.67E-06,1,2.86E-07,1.58E-05,-1.50E-05,0.396356973,-0.40032,0.484081973,-0.643989,0.643989,0.484081973,0.643989,-0.643989,0.396356973,0.40032
-1.03912,2.00641,0.119084,-0.029493511,-0.000967972,0.001272418,-0.000715459,-0.006111068,-0.015569995,3.37E-07,3.44E-06,-1.72E-06,1,2.87E-07,1.58E-05,-1.50E-05,0.396648973,-0.401492,0.484630473,-0.6458745,0.6458745,0.484630473,0.6458745,-0.6458745,0.396648973,0.401492
-1.03927,2.0064,0.119089,-0.029497908,-0.000998656,0.001194898,-0.000882817,-0.006136555,-0.015499995,3.37E-07,1.25E-06,-1.75E-06,1,2.88E-07,1.58E-05,-1.50E-05,0.396940473,-0.4026645,0.485178973,-0.647761,0.647761,0.485179473,0.6477605,-0.6477605,0.396940473,0.4026645
-1.03941,2.0064,0.119093,-0.029502804,-0.001028925,0.001118178,-0.00098576,-0.006054021,-0.015339995,3.37E-07,-8.80E-07,-1.78E-06,1,2.89E-07,1.58E-05,-1.50E-05,0.397232473,-0.4038365,0.485727473,-0.6496465,0.6496465,0.485727473,0.6496465,-0.6496465,0.397232473,0.4038365
-1.03956,2.00639,0.119096,-0.029508201,-0.001058776,0.001042168,-0.001072041,-0.005969538,-0.015199995,3.37E-07,-2.65E-06,-1.79E-06,1,2.90E-07,1.58E-05,-1.50E-05,0.397523973,-0.405009,0.486276473,-0.6515325,0.6515325,0.486276473,0.6515325,-0.6515325,0.397523973,0.405009
-1.03971,2.00639,0.1191,-0.029513998,-0.001088106,0.00096672,-0.001161949,-0.005867314,-0.015089995,3.37E-07,-4.07E-06,-2.75E-06,1,2.90E-07,1.58E-05,-1.50E-05,0.397815973,-0.406181,0.486824973,-0.653418,0.653418,0.486824973,0.653418,-0.653418,0.397815973,0.406181
